Priority,UPC,Item Name,Brand,Vendors,Vendor List,Min Price,Avg Price
20,3274878122561,"Givenchy Amarige EDT for Women | 3.3 oz / 100 ml",Givenchy,9,"Aairie; Nandansons; United; BS; Classic; French; Haz; Perfume Price; Luxury",39,42.20
21,3412242508027,"Nautica Blue EDT for Men | 3.4 oz / 100 ml",Nautica,8,"Cosmo; Network; French; BS; Haz; ET; MTZ; Perfume Center",7.75,9.01
22,3661163904016,"Nautica EDT for Men | 3.4 oz / 100 ml",Nautica,8,"Network; French; CBS; BS; Haz; ET; MTZ; Perfume Center",7.75,9.11
23,3360372009436,"Guy Laroche Drakkar Noir EDT for Men | 3.4 oz / 100 ml",Guy Laroche,8,"Cosmo; Network; CBS; BS; Haz; Luxury; MTZ; Perfume Center",8.25,11.41
24,98691046223,"Liz Claiborne Curve Connect EDT for Women | 3.4 oz / 100 ml",N/A,8,"Network; PWW; CBS; BS; Heritage; ET; Classic; Perfume Center",9.25,10.50
25,608940517482,"Paris Hilton EDP for Women | 3.4 oz / 100 ml",Paris Hilton,8,"Cosmo; Network; BS; Haz; ET; Perfume Center; MTZ; Classic",13.5,16.33
26,6294015149388,"ARMAF [M] ODYSSEY MEGA 3.4 Oz EAU DE PARFUM SPR [YELLOW]",AMIRO,8,"Cosmo; CBS; BS; French; ET; Perfume Center; MTZ; Classic",14.95,16.68
27,688575001778,"Vera Wang Fragrances Vera Wang EDP for Women | 3.4 oz / 100 ml",Vera Wang Fragrances,8,"Cosmo; CBS; BS; French; ET; Perfume Center; MTZ; Classic",15.25,17.11
28,88300608409,"Calvin Klein Escape EDP for Women | 3.4 oz / 100 ml",Calvin Klein,8,"Cosmo; United; CBS; Classic; French; Perfume Center; Perfume Price; Luxury",16.75,20.47
29,844061000551,"Perry Ellis 360 Red EDT for Men | 3.4 oz / 100 ml",Perry Ellis,8,"Cosmo; Network; United; Classic; BS; ET; Perfume Center; Perfume Price",16.9,19.09
30,3360373007905,"Paloma Picasso Minotaure EDT for Men | 2.5 oz / 75 ml",Yves Saint Laurent,8,"Cosmo; Network; BS; Classic; French; ET; Perfume Center; Perfume Price",17,19.96
31,6085010044712,"Armaf Club de Nuit Intense M 3.6 edt spr",N/A,8,"Network; United; CBS; Classic; ET; Perfume Center; Perfume Price; Luxury",19,21.55
32,6294015149371,"ARMAF [M] ODYSSEY MANDARIN SKY 3.4 Oz EAU DE PARFUM SPR [BLUE-ORANGE]",AMIRO,8,"Network; United; CBS; Classic; Haz; ET; Perfume Center; Perfume Price",19.5,21.85
33,608940570524,"Jessica Simpson Fancy Jessica Simpson 4 Pc. Gift Set ( 1 x EDP Spray 3.4 oz + 1 x Fancy EDP Spray 0.34 oz + 1 x Jessica Simpson Body Lotion 3 oz + 1 x Jessica Simpson Bath & Shower Gel 3 oz )",Jessica Simpson,8,"Network; BS; Classic; Haz; French; Perfume Center; Perfume Price; Luxury",21,24.38
34,3386460066273,"Jimmy Choo Blossom Eau de Parfum 100ml",N/A,8,"PWW; Network; United; BS; Classic; French; ET; Perfume Price",23.75,27.75
35,737052352060,"Hugo Boss Boss Bottled Night EDT for Men | 3.3 oz / 100 ml",Hugo Boss,8,"Acme; Cosmo; United; BS; Haz; Perfume Center; PWW; Perfume Price",24,27.45
36,3351500011469,"Loris Azzaro Azzaro EDT for Men | 6.8 oz / 200 ml",Loris Azzaro,8,"Aairie; Nandansons; United; BS; Classic; Perfume Center; Perfume Price; Luxury",25.5,28.64
37,22548366448,"MK WONDERLUST(L) 3.4OZ EDP",N/A,8,"Aairie; United; BS; Classic; Perfume Center; PWW; Perfume Price; Fragrance Depot",26,33.56
38,3614274129267,"AZZ THE MOST WANTED EDTI V50ML",DIPTYQUE,8,"Aairie; Acme; Cosmo; PWW; Classic; Haz; Perfume Center; Perfume Price",29.5,33.34
39,8011003864089,"MOSCHINO Toy2 Bubble Gum Wom EDT (100ml)",N/A,8,"Cosmo; Nandansons; PWW; Network; United; Classic; Perfume Center; Perfume Price",29.75,33.53
40,3614229840124,"Mr. Burberry EDT for Men | 3.3 oz / 100 ml",Burberry,8,"Acme; Nandansons; United; BS; Perfume Center; Classic; Perfume Price; Luxury",30.5,35.50
41,8057971183661,"Dolce & Gabbana Q Eau De Parfum for Women | 3.3 oz / 100 ml - Spray",Dolce & Gabbana,8,"Aairie; PWW; Network; BS; Classic; French; Haz; Fragrance Depot",32.5,38.72
42,737052351100,"Boss 6 3 Pc. Gift Set ( Eau De Toilette Spray 3.3 Oz & Deodorant Stick 2.4 Oz + Shower Gel 1.6 Oz) for Men by Hugo Boss",N/A,8,"Aairie; Cosmo; PWW; Network; United; BS; Classic; Perfume Price",33,35.22
43,3605521515346,"Viktor & Rolf Spicebomb EDT for Men | 3 oz / 90 ml - SPR",Viktor & Rolf,8,"Acme; Nandansons; PWW; Network; United; BS; French; Perfume Price",34,38.55
44,6291100130498,"Al Haramain Amber Oud Gold Edition Eau De Parfum 120ml",N/A,8,"Aairie; Nandansons; PWW; United; BS; Classic; Perfume Price; Luxury",34.5,39.35
45,3614273903172,"AZZARO Wanted For Men 3.4 oz Edp** Spray",N/A,8,"Acme; PWW; Nandansons; United; Classic; Perfume Price; Luxury; Fragrance Depot",35,44.56
46,3607349764241,"Marc Jacobs Daisy Dream EDT for Women | 3.4 oz / 100 ml",Marc Jacobs,8,"Acme; Cosmo; Nandansons; PWW; BS; Classic; Haz; Perfume Price",35.5,39.33
47,850050062035,"BHARARA KING MEN 3.4 EDP SP   ",N/A,8,"Aairie; PWW; United; Classic; Network; French; Perfume Price; Fragrance Depot",37,39.51
48,8057971180394,"Dolce & Gabbana EDT for Women | 3.4 oz / 100 ml - SPR",Dolce & Gabbana,8,"Aairie; Cosmo; Nandansons; Network; BS; Classic; French; Luxury",42,46.28
49,3614273521307,"AZZARO THE MOST WANTED ( M ) EDP SP 3.4 OZ",CLARINS,8,"Aairie; Acme; Nandansons; BS; Haz; Classic; Luxury; Fragrance Depot",46,52.50
50,3274872396197,"GIVENCHY  ANGE OU DEMON EDP 100ML",N/A,8,"Aairie; Nandansons; United; BS; Haz; Classic; Perfume Price; Luxury",48.5,55.56
51,3607349312459,"Katy Perry Purr EDP for Women | 3.4 oz / 100 ml",Katy Perry,7,"Cosmo; French; PWW; BS; MTZ; Classic; Perfume Center",10.45,12.39
52,8002135111974,"Scuderia Ferrari Black EDT for Men | 4.2 oz / 125 ml",Ferrari,7,"Cosmo; Network; PWW; CBS; ET; MTZ; Classic",10.85,13.66
53,719346065405,"Britney Spears Fantasy EDP for Women | 3.3 oz / 100 ml",Britney Spears,7,"Network; CBS; BS; French; ET; Classic; Luxury",14,15.66
54,737052031415,"Hugo Boss Hugo Dark Blue EDT for Men | 2.5 oz / 75 ml - SPR",Hugo Boss,7,"Cosmo; Network; CBS; Haz; French; Perfume Center; MTZ",15,17.46
55,88300100514,"Calvin Klein Escape EDT for Men | 3.4 oz / 100 ml",Calvin Klein,7,"Cosmo; Network; Classic; BS; Haz; Perfume Center; Luxury",16.7,19.39
56,737052041353,"Hugo Boss Boss Femme EDP for Women | 2.5 oz / 75 ml",Hugo Boss,7,"Acme; Cosmo; United; CBS; Classic; French; Perfume Center",17,19.46
57,3614224871284,"Calvin Klein Eternity For Men Air Eau De Toilette 100ml",Yves Saint Laurent,7,"Cosmo; United; Classic; BS; Haz; Perfume Center; Luxury",17,19.58
58,3360372055402,"RALPH LAUREN Polo Sport EDT for Men | 4.2 oz / 125 ml",RALPH LAUREN,7,"Cosmo; Network; United; Classic; French; Perfume Center; Perfume Price",17,19.47
59,3616301623335,"Hugo Boss Boss 1 Eau De Toilette for Men | 3.3 oz / 100 ml - Spray",Hugo Boss,7,"Cosmo; Network; United; CBS; Haz; French; Perfume Price",17.75,19.34
60,3386460126625,"COACH Open Road Men EDT (100ml)",Dolce & Gabbana,7,"Cosmo; BS; CBS; Classic; French; Perfume Price; Luxury",18,25.31
61,3616301623311,"Hugo Boss Boss In Motion EDT for Men | 3.3 oz / 100 ml",Hugo Boss,7,"Cosmo; United; CBS; Classic; Haz; Perfume Center; Perfume Price",18.25,20.91
62,3607345809915,"Joop Homme EDT for Men | 6.7 oz / 200 ml",Joop!,7,"Cosmo; Network; United; Classic; Haz; Perfume Center; Perfume Price",18.25,20.08
63,844061000599,"Perry Ellis 360 EDT for Women | 3.4 oz / 100 ml",Perry Ellis,7,"Cosmo; Network; United; Classic; ET; Perfume Center; Perfume Price",18.5,20.22
64,8018365250468,"Gianni Versace Versace Woman EDP for Women | 3.4 oz / 100 ml",Gianni Versace,7,"Cosmo; United; BS; CBS; Classic; Perfume Center; Perfume Price",19.9,22.68
65,3614227748682,"Burberry Touch EDT for Men | 3.3 oz / 100 ml - SPR",Burberry,7,"United; CBS; Classic; Haz; French; ET; Luxury",21.5,24.53
66,3614226905185,"Burberry London EDP for Women | 3.3 oz / 100 ml",Burberry,7,"Cosmo; Network; BS; Classic; ET; Perfume Price; Luxury",22,26.70
67,6294015164169,"ARMAF CLUB DE NUIT IMPERIALE  - EAU DE TOILETTE SPRAY 3.6 oz",N/A,7,"United; BS; CBS; Classic; Perfume Center; Perfume Price; Luxury",23,28.91
68,3386460149310,"LACOSTE RED 4.2oz EDT SP (M)",N/A,7,"Cosmo; United; CBS; Classic; ET; Perfume Center; Perfume Price",23.75,26.23
69,8057971188178,"DG LIGHT BLUE 1.0 EDT L NEW 2025  (129941)",N/A,7,"Network; BS; Haz; French; Perfume Center; Classic; Perfume Price",24,25.14
70,3423222090708,"ISSEY MIYAKE L'Eau D'Issey Pivoine Wom EDT (100ml)",N/A,7,"United; BS; Classic; French; Perfume Center; PWW; Perfume Price",24,28.86
71,22548419953,"Michael Kors Gorgeous! Eau De Parfum for Women | 3.4 oz / 100 ml - Spray",N/A,7,"United; BS; Classic; Haz; Perfume Center; PWW; Perfume Price",24.5,29.19
72,3349668021345,"Paco Rabanne EDT for Men | 3.4 oz / 100 ml - SPR",Paco Rabanne,7,"Acme; Nandansons; Network; United; BS; Perfume Center; Perfume Price",24.75,26.22
73,3614229823806,"Hugo Boss Hugo EDT for Men | 4.2 oz / 125 ml",Hugo Boss,7,"Cosmo; Nandansons; United; Classic; Haz; Perfume Center; Perfume Price",24.75,26.76
74,8057971182053,"Dolce & Gabbana D & G L'Imperatrice EDT for Women | 3.3 oz / 100 ml",Dolce & Gabbana,7,"PWW; Network; BS; Classic; Haz; Perfume Center; Perfume Price",24.75,28.42
75,887167095885,"ESTEE SUPER 1.7 EDP L",N/A,7,"Cosmo; Nandansons; PWW; BS; Classic; Haz; Perfume Center",25.25,29.25
76,27131043317,"Estee Lauder Pleasures EDP for Women | 3.4 oz / 100 ml",N/A,7,"Nandansons; Network; United; Perfume Center; Classic; PWW; Luxury",25.5,29.39
77,844061001589,"Perry Ellis 360 EDT for Women | 6.7 oz / 200 ml",Perry Ellis,7,"PWW; Network; United; BS; Classic; Perfume Center; Perfume Price",26,28.50
78,812256028475,"GOD IS WOMEN 3.4 EDP L",N/A,7,"Aairie; Nandansons; PWW; United; Classic; Perfume Center; Luxury",27.5,35.15
79,3614273905428,"AZZARO WANTED 1.7OZ EDP MEN **",N/A,7,"Aairie; Acme; Cosmo; PWW; BS; Haz; Perfume Price",28,33.22
80,3386460109567,"Coach Dreams W 3.0 edp spr",N/A,7,"Cosmo; Nandansons; PWW; BS; Classic; Perfume Price; Luxury",33,36.41
81,3386460151962,"COACH DREAMS MOONLIGHT 3.0 EDP L  (118656)",N/A,7,"Cosmo; Nandansons; BS; Classic; French; Perfume Price; Luxury",34.5,38.71
82,810101500060,"ARIANA GRANDE MOD BLUSH EDP SP 3.4oz",N/A,7,"Nandansons; PWW; Network; United; Classic; Perfume Price; Luxury",35.25,41.25
83,8011003804566,"Gianni Versace Versace Yellow Diamond EDT for Women | 3 oz / 90 ml",Versace,7,"Aairie; Acme; Cosmo; United; BS; Classic; Perfume Price",37.75,39.06
84,3614274129281,"AZZ THE MOST WANTED EDTI V100ML",N/A,7,"Acme; Cosmo; BS; Classic; Haz; Perfume Price; Fragrance Depot",38,44.37
85,8011003839117,"Versace Dylan Blue W 3.4 edp spr",N/A,7,"Aairie; Cosmo; Nandansons; United; BS; Classic; Fragrance Depot",40.5,44.39
86,3423470485448,"Issey Miyake L'Eau De Issey EDT for Men | 6.8 oz / 200 ml - SPR",Issey Miyake,7,"Acme; Cosmo; Nandansons; Network; United; Classic; Perfume Price",40.5,42.75
87,8057971180516,"D&G The One Men EDT (150ml)",N/A,7,"Aairie; Nandansons; BS; Classic; Haz; Perfume Price; Luxury",42.5,47.31
88,8435415012669,"Jean Paul Gaultier Le Male EDT for Men | 4.2 oz / 125 ml - SPR",Jean Paul Gaultier,7,"Aairie; Acme; Nandansons; United; BS; Haz; Classic",62,64.00
89,8411061083772,"CAROLINA HERRERA BAD BOY COBALT ELIXIR 3.4OZ EDP MEN",N/A,7,"Aairie; Nandansons; United; BS; Haz; Classic; Luxury",69,78.79
90,3349668600304,"Paco Rabanne 1 Million Elixir Parfum Intense for Men | 3.4 oz / 100 ml - Spray",Paco Rabanne,7,"Aairie; Acme; Nandansons; United; Haz; Classic; Fragrance Depot",70.5,73.31
91,8411061083659,"CAROLINA H GOOD GIRL BLUSH ELIXIR EDP SP 2.7oz",NISHANE,7,"Aairie; Nandansons; United; BS; Classic; Luxury; Fragrance Depot",88,98.47
92,3562700373084,"Jaguar Classic Eau De Toilette for Men | 3.4 oz / 100 ml - Spray",Jaguar,6,"Cosmo; Network; BS; Heritage; MTZ; Perfume Center",7,8.19
93,85715321312,"Guess Night Eau de Toilette 100ml",N/A,6,"Cosmo; BS; Haz; ET; Classic; Luxury",9,13.48
94,3614221758786,"Nautica Voyage Sport EDT for Men | 3.4 oz / 100 ml",Nautica,6,"Cosmo; French; PWW; Haz; MTZ; Perfume Center",9.25,10.75
95,719346125536,"Elizabeth Taylor Passion Cologne for Men | 4 oz / 120 ml",Elizabeth Taylor,6,"PWW; CBS; BS; Classic; Luxury; Perfume Center",9.75,12.47
96,719346117722,"Britney Spears Believe EDP for Women | 3.3 oz / 100 ml",Britney Spears,6,"Cosmo; PWW; French; Classic; Luxury; Perfume Center",10,14.42
97,603531211084,"Vicky Tiel Sirene EDP for Women | 3.4 oz / 100 ml - SPR",Vicky Tiel,6,"Network; PWW; CBS; BS; French; Perfume Center",10.9,12.43
98,719346009959,"Paul Sebastian Casual Parfum for Women | 4 oz / 120 ml",Paul Sebastian,6,"Cosmo; Network; PWW; BS; Classic; Perfume Center",11,12.54
99,98691005046,"Liz Claiborne Curve EDT for Women | 3.4 oz / 100 ml",N/A,6,"PWW; CBS; BS; ET; Classic; Perfume Center",11,13.34
100,94922794642,"Christian Audigier Ed Hardy EDT for Men | 3.4 oz / 100 ml",Christian Audigier,6,"Cosmo; PWW; CBS; BS; Luxury; Perfume Center",11.75,14.37
101,94922190123,"Christian Audigier Hardy Hearts & Daggers EDT for Men | 3.4 oz / 100 ml",Christian Audigier,6,"Cosmo; PWW; BS; Classic; Luxury; Perfume Center",11.75,15.32
102,719346010115,"Elizabeth Taylor Passion EDT for Women | 2.5 oz / 75 ml",Elizabeth Taylor,6,"Cosmo; Network; BS; French; ET; Classic",12.75,13.82
103,85805004675,"Elizabeth Arden Provocative Woman EDP for Women | 3.3 oz / 100 ml",Elizabeth Arden,6,"Cosmo; PWW; CBS; BS; Classic; Luxury",13.15,15.75
104,27131521433,"Estee Lauder Pleasures Cologne for Men | 3.4 oz / 100 ml",N/A,6,"Network; PWW; CBS; Classic; BS; Luxury",13.5,19.69
105,3360372055419,"RALPH LAUREN Polo Sport EDT for Men | 2.5 oz / 75 ml - SPR",RALPH LAUREN,6,"Cosmo; Network; CBS; French; Classic; Perfume Price",15,16.64
106,6294015151596,"ARMAF CLUB DE NUIT (M) EDT SP 3.6oz",N/A,6,"CBS; BS; Perfume Center; Classic; Perfume Price; Luxury",15.4,19.07
107,88300606511,"Calvin Klein Obsession EDT for Men | 4 oz / 120 ml",Calvin Klein,6,"Cosmo; CBS; BS; MTZ; Classic; Luxury",15.45,18.12
108,608940566947,"PARIS HILTON GOLD RUSH M EDT/S 3.4",N/A,6,"Cosmo; United; CBS; BS; French; Perfume Center",15.7,16.70
109,844061000612,"Perry Ellis 360 EDT for Men | 3.4 oz / 100 ml",Perry Ellis,6,"Cosmo; Network; United; BS; ET; Perfume Center",15.9,17.31
110,5050456080601,"Jennifer Lopez Still EDP for Women | 3.3 oz / 100 ml",Jennifer Lopez,6,"United; CBS; BS; ET; Perfume Center; Classic",16.4,17.82
111,6291108737194,"LATTAFA KHAMRAH 3.4 EDP SPR (M)",N/A,6,"Network; United; Classic; BS; ET; Perfume Price",17,18.38
112,844061000575,"Perry Ellis 360 Red EDP for Women | 3.4 oz / 100 ml",Perry Ellis,6,"United; CBS; Classic; ET; Perfume Center; Perfume Price",17,18.72
113,6290171072836,"AFNAN 9AM DIVE U 3.4 EDP SPRAY (BLUE) ..",N/A,6,"United; Classic; French; ET; Perfume Center; Perfume Price",17.95,19.21
114,892456000174,"Parlux Fragrances Animale EDT for Men | 3.3 oz / 100 ml",Parlux Fragrances,6,"United; Classic; ET; Perfume Center; Perfume Price; Luxury",18,21.04
115,3386460066181,"Montblanc Lady Emblem Eau de Parfum 75ml",N/A,6,"United; BS; CBS; Classic; ET; Perfume Center",18,21.92
116,719346134866,"Liz Claiborne Curve Cologne for Men | 4.2 oz / 125 ml",Liz Claiborne,6,"Cosmo; Network; United; Classic; Perfume Center; Perfume Price",18.65,21.01
117,719346022705,"Elizabeth Taylor White Diamonds EDT for Women | 3.3 oz / 100 ml",Elizabeth Taylor,6,"Acme; United; CBS; Classic; Perfume Center; Perfume Price",18.95,19.74
118,85715571007,"Oscar de la Renta Oscar EDT for Women | 3.3 oz / 100 ml",Oscar de la Renta,6,"Cosmo; Network; Classic; Haz; ET; Perfume Price",20,22.61
119,6295199804360,"ARMAF "ODYSSEY DUBAI CHOCOLATE GOURMAN EDITION" EDP SPR 3.4 M (Clean)",N/A,6,"United; BS; CBS; Classic; Perfume Center; Perfume Price",20,21.29
120,88300601301,"Calvin Klein Eternity EDP for Women | 1.7 oz / 50 ml",Calvin Klein,6,"Cosmo; Classic; Haz; Perfume Center; Perfume Price; Luxury",20.5,23.82
121,3386460120630,"KATE SPADE SPARKLE INTENSE ( W ) EDP SP 3.4 OZ",Dolce & Gabbana,6,"Cosmo; CBS; Classic; French; Perfume Center; Perfume Price",20.5,22.82
122,20714881429,"Clinique Happy Heart Parfum for Women | 3.4 oz / 100 ml",N/A,6,"Network; United; Haz; ET; Perfume Center; Perfume Price",20.5,22.08
123,7640496670139,"Tommy Hilfiger Tommy Girl EDT for Women | 3.4 oz / 100 ml",Tommy Hilfiger,6,"BS; CBS; Classic; ET; Perfume Center; Perfume Price",20.5,22.12
124,608940525753,"Heiress Paris Hilton EDP for Women | 3.4 oz / 100 ml",Paris Hilton,6,"Network; Classic; French; ET; Perfume Center; Perfume Price",21,22.19
125,88300605514,"Calvin Klein Eternity EDT for Men | 3.4 oz / 100 ml",Calvin Klein,6,"Acme; CBS; Classic; Haz; ET; Perfume Price",22,23.34
126,3386460075343,"Jimmy Choo Illicit Flower Eau de Toilette 100ml",N/A,6,"United; BS; CBS; Classic; French; Perfume Price",22,24.36
127,98691035524,"Liz Claiborne Curve Cologne for Men | 6.8 oz / 200 ml",Liz Claiborne,6,"Cosmo; United; CBS; Classic; ET; Perfume Price",22.45,23.62
128,3616304940835,"Marc Jacobs DOT EDP 3.4oz",N/A,6,"Cosmo; BS; Classic; Haz; Perfume Center; Perfume Price",22.5,26.14
129,3386460048118,"Jimmy Choo Flash Eau de Parfum 100ml",N/A,6,"Cosmo; United; BS; French; Perfume Center; Perfume Price",23,25.88
130,3614226905666,"Burberry EDP for Women | 3.3 oz / 100 ml",Burberry,6,"Cosmo; Nandansons; BS; Classic; Haz; Perfume Price",23.5,25.61
131,3614226905253,"Burberry Brit EDT for Women | 3.4 oz / 100 ml - SPR",Burberry,6,"Nandansons; United; Haz; Perfume Center; PWW; Perfume Price",23.75,26.53
132,3386460149297,"LACOSTE ESSENTIAL (M) 4.2 EDT SP",N/A,6,"Cosmo; United; Classic; Perfume Center; PWW; Perfume Price",23.9,26.68
133,844061004788,"Perry Ellis 360 EDT for Men | 6.7 oz / 200 ml",Perry Ellis,6,"Network; BS; Classic; Perfume Center; PWW; Perfume Price",24,26.40
134,22548289655,"Michael Kors Sexy Amber EDP for Women | 3.4 oz / 100 ml",N/A,6,"Nandansons; PWW; United; Classic; Haz; Perfume Center",24.5,28.75
135,3386460025508,"Jimmy Choo EDT for Women | 3.3 oz / 100 ml",Jimmy Choo,6,"Cosmo; Nandansons; United; BS; PWW; Perfume Price",25.5,26.88
136,8005610255668,"HUGO BOSS Hugo Boss Bottled Tonic 3.4 oz  EDT Spray (New)",N/A,6,"Cosmo; PWW; BS; Classic; Perfume Center; Perfume Price",26.25,31.30
137,812256021711,"Ariana Grande Sweet Like Candy Eau De Parfum for Women | 3.4 oz / 100 ml - Spray",Ariana Grande,6,"PWW; Network; United; Classic; Perfume Center; Perfume Price",26.4,28.95
138,3607349764289,"Marc Jacobs Daisy Dream EDT for Women | 1.7 oz / 50 ml",Marc Jacobs,6,"Acme; Cosmo; BS; Classic; Haz; Perfume Center",26.5,29.97
139,3349666010518,"Paco Rabanne Ultraviolet EDT for Men | 3.4 oz / 100 ml",Paco Rabanne,6,"Aairie; Nandansons; United; Classic; Perfume Center; Perfume Price",27,29.29
140,3423474874750,"ISSEY M NUIT D'ISSEY POUR HOMME EDT SP 4.2oz",N/A,6,"Cosmo; PWW; United; BS; Classic; Haz",27.5,29.78
141,27131086871,"Estee Lauder Beautiful EDP for Women | 2.5 oz / 75 ml",N/A,6,"Nandansons; PWW; United; BS; Perfume Center; Luxury",27.5,31.00
142,8057971188185,"DG LIGHT BLUE 1.7 EDT L NEW 2025  (129940)",N/A,6,"BS; Classic; French; Perfume Center; Perfume Price; Luxury",27.5,30.54
143,3386460149358,"Lacoste Pour Femme Edp Spray 90 ml",N/A,6,"Aairie; Nandansons; BS; Classic; French; Perfume Price",27.95,30.28
144,3616304974465,"CHLOE MINIATURE COFFRET GIFT SET 4X5ML",N/A,6,"Nandansons; PWW; Haz; French; Perfume Center; Perfume Price",28.5,30.64
145,3605520381096,"Giorgio Armani Emporio Armani Diamonds EDT for Men | 2.5 oz / 75 ml",Giorgio Armani,6,"Nandansons; PWW; BS; Classic; Haz; Fragrance Depot",28.5,34.86
146,8057971188673,"D&G THE ONE GOLD INTENSE EDP SP 1.7oz",N/A,6,"Aairie; Cosmo; PWW; BS; Perfume Center; Perfume Price",29.3,33.77
147,3386460135818,"MONT BLANC Explorer Platinum EDP (100ml)",N/A,6,"Cosmo; PWW; United; Classic; French; Perfume Price",29.5,31.52
148,8005610481081,"Gucci Bloom Eau de Parfum 30ml",N/A,6,"Acme; Nandansons; PWW; BS; Classic; Perfume Price",31,33.44
149,3386460149129,"LACOSTE EAU DE LACOSTE BLANC L.12.12 M 3.4 *EDP* SPRAY WHITE",N/A,6,"Aairie; Acme; United; Classic; Perfume Center; Perfume Price",32,34.81
150,8057971183807,"Dolce & Gabbana Dolce Voilet Eau De Toilette for Women | 2.5 oz / 75 ml - Spray",Dolce & Gabbana,6,"Nandansons; PWW; United; BS; French; Luxury",32,40.57
151,810101504631,"ARIANA GRANDE [W] ARI 3 PCS SET 3.4 Oz EDP SPR+3.4 Oz B/L+4.0 Oz B.MIST [WINDOW BOX]",N/A,6,"Aairie; Nandansons; PWW; United; Classic; Perfume Price",33.5,36.17
152,8011003995967,"Gianni Versace Versace Pour Homme EDT for Men | 3.4 oz / 100 ml",Gianni Versace,6,"Aairie; Acme; Cosmo; Network; United; Classic",33.5,36.76
